State,		Bars,
Alabama,	249,
Alaska,	146,
Arizona,	613,
Arkansas,	113,
California,	3370,
Colorado,	780,
Connecticut,	298,
Delaware,	68,
Florida,	1732,
Georgia,	424,
Hawaii,	179,
Idaho,	352,
Illinois,	2792,
Indiana,	875,
Iowa,	871,
Kansas,	293,
Kentucky,	307,
Louisiana,	787,
Maine,	133,
Maryland,	442,
Massachusetts,	702,
Michigan,	1316,
Minnesota,	865,
Mississippi,	104,
Missouri,	646,
Montana,	522,
Nebraska,	530,
Nevada,	661,
New Hampshire,	21,
New Jersey,	880,
New Mexico,	111,
New York,	3389,
North Carolina,	765,
North Dakota,	379,
Ohio,	1784,
Oklahoma,	409,
Oregon,	858,
Pennsylvania,	2345,
Rhode Island,	229,
South Carolina,	368,
South Dakota,	315,
Tennessee,	343,
Texas,	2806,
Utah,	151,
Vermont,	102,
Virginia,	195,
Washington,	951,
Washington D.C.,	174,
West Virginia,	304,
Wisconsin,	2732,
Wyoming,	161